chrom	chromStart	chromEnd	probeID	probe_strand
chr3	121629761	121629763	cg08831080	-
chr3	121660897	121660899	cg06577710	-
chr3	121660929	121660931	cg00141162	+
chr3	121660943	121660945	cg02167021	+
chr3	121661685	121661687	cg15458222	+
chr3	121661944	121661946	cg18593727	-
chr3	121772534	121772536	cg21792134	-
chr3	121793336	121793338	cg10605766	-
chr3	121894108	121894110	cg10523671	-
chr3	121992875	121992877	cg05891759	+
chr3	122077779	122077781	cg16331599	+
chr3	122077871	122077873	cg13617155	+
chr3	122577587	122577589	cg22821981	+
chr3	122790263	122790265	cg09359351	+
chr3	122984934	122984936	cg13482010	+
chr3	123111327	123111329	cg27383859	-
chr3	123209338	123209340	cg14516183	-
chr3	123870331	123870333	cg01894985	-
chr3	124084280	124084282	cg05720721	-
chr3	125043752	125043754	cg16044109	-
chr3	125063224	125063226	cg27280037	+
chr3	125118889	125118891	cg06713373	+
chr3	125120795	125120797	cg11591485	-
chr3	125141841	125141843	cg26107890	+
chr3	125142026	125142028	cg26125625	+
chr3	125334970	125334972	cg26313511	+
chr3	125366477	125366479	cg10687936	+
chr3	125462861	125462863	cg04569594	-
chr3	125958437	125958439	cg25789277	-
chr3	126541771	126541773	cg06698795	-
chr3	126541970	126541972	cg17911539	-
chr3	126542454	126542456	cg04527018	-
chr3	127135579	127135581	cg21620246	-
chr3	127588383	127588385	cg00391741	+
chr3	127608525	127608527	cg12678686	+
chr3	127632694	127632696	cg27245646	+
chr3	127674673	127674675	cg03596635	-
chr3	127754911	127754913	cg22514722	+
chr3	128076727	128076729	cg08668199	-
chr3	128174492	128174494	cg25974167	-
chr3	128316426	128316428	cg27640348	+
chr3	128684191	128684193	cg19982684	-
chr3	128698515	128698517	cg11083416	+
chr3	128805058	128805060	cg01368075	+
chr3	128814528	128814530	cg19991780	+
chr3	128991546	128991548	cg25752703	-
chr3	129059855	129059857	cg06804344	-
chr3	129117538	129117540	cg06038472	+
chr3	129119506	129119508	cg05859076	-
chr3	129276635	129276637	cg12216435	+
chr3	129278211	129278213	cg25821399	-
chr3	129442660	129442662	cg04133658	+
chr3	129558477	129558479	cg21333217	+
chr3	129603003	129603005	cg05490233	+
chr3	129607984	129607986	cg16665506	-
chr3	129856209	129856211	cg12196294	-
chr3	129974526	129974528	cg18862481	-
chr3	129974541	129974543	cg11940285	-
chr3	129974645	129974647	cg22512438	-
chr3	130897448	130897450	cg20263733	-
chr3	130974983	130974985	cg05936004	-
chr3	133576009	133576011	cg21466315	-
chr3	133821962	133821964	cg27366882	+
chr3	134472138	134472140	cg06685080	-
chr3	136343897	136343899	cg25498969	+
chr3	138759286	138759288	cg16050349	+
chr3	138936932	138936934	cg09696159	-
chr3	139347948	139347950	cg11277156	-
chr3	140945884	140945886	cg19242112	-
chr3	141312872	141312874	cg10330847	-
chr3	141368344	141368346	cg06137072	-
chr3	141368347	141368349	cg13029400	+
chr3	141368520	141368522	cg21474062	+
chr3	141403789	141403791	cg20959189	-
chr3	143122876	143122878	cg16217803	-
chr3	143207335	143207337	cg00183468	-
chr3	143536942	143536944	cg02501410	-
chr3	146161175	146161177	cg24378692	+
chr3	147391055	147391057	cg16768018	+
chr3	147391128	147391130	cg15105326	+
chr3	147396130	147396132	cg12892506	+
chr3	147407994	147407996	cg24686610	+
chr3	147408975	147408977	cg26014538	+
chr3	147421697	147421699	cg21657087	+
chr3	148950443	148950445	cg20957523	+
chr3	149333555	149333557	cg13321956	-
chr3	149395751	149395753	cg15087376	-
chr3	149547512	149547514	cg25349034	-
chr3	149554202	149554204	cg08452338	-
chr3	149630802	149630804	cg05902522	+
chr3	149656747	149656749	cg23017915	+
chr3	149969214	149969216	cg01070987	+
chr3	149983331	149983333	cg00658085	-
chr3	150203210	150203212	cg21507985	+
chr3	150703033	150703035	cg07578772	-
chr3	151200100	151200102	cg19010441	+
chr3	151278810	151278812	cg00290355	-
chr3	152458228	152458230	cg25006077	-
chr3	153166424	153166426	cg22678398	-
chr3	156762837	156762839	cg18794809	-
chr3	157437686	157437688	cg27558283	+
chr3	158097882	158097884	cg03458172	+
chr3	158098018	158098020	cg05401764	+
chr3	158098304	158098306	cg09095222	-
chr3	158571082	158571084	cg19865133	-
chr3	160642104	160642106	cg25820084	-
chr3	160851839	160851841	cg23079522	+
chr3	161105122	161105124	cg20841906	+
chr3	165197407	165197409	cg25831075	-
chr3	167520856	167520858	cg04903759	-
chr3	169931804	169931806	cg02319829	+
chr3	170033820	170033822	cg01721313	-
chr3	170359756	170359758	cg25446191	-
chr3	170360680	170360682	cg15627834	+
chr3	170419763	170419765	cg17078427	+
chr3	170585255	170585257	cg07766263	+
chr3	172246524	172246526	cg19244312	-
chr3	172518017	172518019	cg01059398	-
chr3	172659030	172659032	cg11088682	-
chr3	172676603	172676605	cg14338526	+
chr3	172749535	172749537	cg21643939	+
chr3	173397461	173397463	cg13238990	-
chr3	177057927	177057929	cg04911180	-
chr3	177145160	177145162	cg17578639	+
chr3	177198707	177198709	cg01132484	+
chr3	177478712	177478714	cg02913882	+
chr3	177530214	177530216	cg15361789	+
chr3	177603208	177603210	cg04365699	-
chr3	181710491	181710493	cg19258425	-
chr3	181710673	181710675	cg04948892	-
chr3	181713276	181713278	cg25444208	-
chr3	183097170	183097172	cg01212284	+
chr3	183211484	183211486	cg23819411	-
chr3	183253220	183253222	cg12930573	-
chr3	183253236	183253238	cg16938490	-
chr3	183254537	183254539	cg03657573	+
chr3	183528163	183528165	cg03805566	-
chr3	183555653	183555655	cg19797087	-
chr3	183556018	183556020	cg20398399	+
chr3	183640878	183640880	cg12198633	-
chr3	183825798	183825800	cg09738156	-
chr3	184020681	184020683	cg01327169	-
chr3	184156767	184156769	cg13607248	-
chr3	184181915	184181917	cg17343451	+
chr3	184332604	184332606	cg23189692	+
chr3	184583941	184583943	cg24000814	+
chr3	186996572	186996574	cg07337602	+
chr3	187020531	187020533	cg01040649	+
chr3	187020581	187020583	cg25599673	+
chr3	187021810	187021812	cg15287850	-
chr3	188178816	188178818	cg05044994	-
chr3	188220530	188220532	cg12297546	+
chr3	188681690	188681692	cg06739107	-
chr3	188948232	188948234	cg24769398	+
chr3	190319905	190319907	cg03601836	+
chr3	192514287	192514289	cg22834653	-
chr3	193241058	193241060	cg20436262	+
chr3	193241178	193241180	cg08659357	+
chr3	193688209	193688211	cg23144852	-
chr3	193868604	193868606	cg04051365	+
chr3	193911855	193911857	cg27203560	+
chr3	194273118	194273120	cg12819431	-
chr3	194306355	194306357	cg21916479	-
chr3	194488177	194488179	cg23192683	-
chr3	194639978	194639980	cg11114465	+
chr3	195076369	195076371	cg06704969	-
chr3	195076408	195076410	cg25921813	+
chr3	195105681	195105683	cg06706813	-
chr3	195105784	195105786	cg15912390	-
chr3	195105855	195105857	cg08704934	+
chr3	195156469	195156471	cg08037727	-
chr3	195156639	195156641	cg08054010	-
chr3	195180627	195180629	cg15431659	-
chr3	195209440	195209442	cg24042854	-
chr3	195209582	195209584	cg03170670	-
chr3	195807982	195807984	cg05480110	+
chr3	195907972	195907974	cg05802478	-
chr3	195908093	195908095	cg21008828	-
chr3	196220049	196220051	cg04855678	+
chr3	196220190	196220192	cg17572056	+
chr3	196247386	196247388	cg07641926	+
chr3	196247428	196247430	cg02803925	-
chr3	196247457	196247459	cg07271869	-
chr3	196625114	196625116	cg00828556	+
chr3	196625270	196625272	cg06690535	+
chr3	196758406	196758408	cg21104449	-
chr3	197354782	197354784	cg14875327	-
chr3	197522402	197522404	cg09610644	+
chr3	197674767	197674769	cg17304531	+
chr3	197675335	197675337	cg19975560	-
chr3	197773873	197773875	cg14549906	-
chr3	197773964	197773966	cg27363788	+
chr3	197773987	197773989	cg03653856	+
chr3	197957857	197957859	cg14852276	-
chr4	336861	336863	cg00573330	+
chr4	477600	477602	cg16654610	-
chr4	722075	722077	cg25670583	+
chr4	722082	722084	cg25712567	-
chr4	722160	722162	cg16767590	-
chr4	725572	725574	cg14024328	+
chr4	879844	879846	cg04266908	+
chr4	970179	970181	cg18973586	+
chr4	970222	970224	cg12226453	-
chr4	1002386	1002388	cg05327835	-
chr4	1192126	1192128	cg06650379	+
chr4	1201529	1201531	cg11372934	-
chr4	1202056	1202058	cg23543318	-
chr4	1204564	1204566	cg05821186	-
chr4	1208720	1208722	cg09865015	-
chr4	1218750	1218752	cg17158584	+
chr4	1228049	1228051	cg26923863	-
chr4	1234851	1234853	cg12525219	-
chr4	1244206	1244208	cg09758273	-
chr4	1300643	1300645	cg01418351	-
chr4	1300777	1300779	cg07241925	-
chr4	1309702	1309704	cg00689492	+
chr4	1311324	1311326	cg10133462	-
chr4	1316089	1316091	cg07110949	-
chr4	1331088	1331090	cg07748255	+
chr4	1718255	1718257	cg08629884	+
chr4	1740573	1740575	cg13673960	-
chr4	1740735	1740737	cg08947915	-
chr4	1839149	1839151	cg07698591	-
chr4	1985186	1985188	cg19739468	-
chr4	1986623	1986625	cg21238254	-
chr4	2320229	2320231	cg22488278	-
chr4	2320324	2320326	cg01161042	+
chr4	2320350	2320352	cg12811871	-
chr4	2430270	2430272	cg21574822	-
chr4	2685819	2685821	cg11692181	-
chr4	2812336	2812338	cg12086464	+
chr4	2812394	2812396	cg15569052	+
chr4	2923926	2923928	cg07134632	+
chr4	2939588	2939590	cg20948431	+
chr4	2965378	2965380	cg02722672	-
chr4	2965482	2965484	cg21333406	+
chr4	3121404	3121406	cg05736642	-
chr4	3192140	3192142	cg09494176	-
chr4	3203115	3203117	cg14967987	-
chr4	3304977	3304979	cg10959820	+
chr4	3323301	3323303	cg16416165	+
chr4	3402644	3402646	cg18944752	+
chr4	3529875	3529877	cg08472008	-
chr4	4419136	4419138	cg17128308	-
chr4	4590832	4590834	cg00699947	-
chr4	4858711	4858713	cg20588069	-
chr4	4862146	4862148	cg09573795	-
chr4	4862760	4862762	cg21538208	-
chr4	4865436	4865438	cg14872952	+
chr4	5708675	5708677	cg06426416	+
chr4	5708683	5708685	cg01834022	+
chr4	5839902	5839904	cg05737153	-
chr4	5893195	5893197	cg07963234	+
chr4	6275545	6275547	cg25311466	+
chr4	6609400	6609402	cg25892537	+
chr4	6664619	6664621	cg26273127	+
chr4	6674545	6674547	cg04909938	+
chr4	6693652	6693654	cg14140379	-
chr4	6727353	6727355	cg23418467	+
chr4	6876529	6876531	cg04283838	-
chr4	6907878	6907880	cg17719317	+
chr4	6912893	6912895	cg14594044	-
chr4	7065647	7065649	cg03567896	-
chr4	7250687	7250689	cg21522159	+
chr4	7250859	7250861	cg19923393	-
chr4	7526568	7526570	cg10858686	-
chr4	7635773	7635775	cg21957905	-
chr4	7646899	7646901	cg16571794	+
chr4	7904526	7904528	cg07484065	+
chr4	7938851	7938853	cg22079161	+
chr4	8072062	8072064	cg17949969	-
chr4	8228961	8228963	cg07248017	+
chr4	8394682	8394684	cg03870033	-
chr4	8411008	8411010	cg17055207	+
chr4	9781573	9781575	cg03045635	+
chr4	10077796	10077798	cg24973591	+
chr4	10099775	10099777	cg17095147	-
chr4	10099928	10099930	cg22358291	+
chr4	10114890	10114892	cg02317251	+
chr4	13539321	13539323	cg25763036	+
chr4	13544135	13544137	cg19852958	-
chr4	15963119	15963121	cg08132711	-
chr4	16034499	16034501	cg17791799	-
chr4	16084078	16084080	cg04203238	-
chr4	16256482	16256484	cg10294960	+
chr4	17581053	17581055	cg06859106	-
chr4	17781698	17781700	cg27207796	+
chr4	17781878	17781880	cg07696699	+
chr4	21948683	21948685	cg24663256	+
chr4	24795365	24795367	cg03577139	+
chr4	24800717	24800719	cg13096007	-
chr4	24974094	24974096	cg22387323	-
chr4	25164180	25164182	cg09075114	-
chr4	25929492	25929494	cg06580014	+
chr4	26206428	26206430	cg08091050	-
chr4	26413278	26413280	cg22992279	+
chr4	38152114	38152116	cg07410217	+
chr4	38183347	38183349	cg22785562	-
chr4	38183461	38183463	cg11599269	-
chr4	38190860	38190862	cg22542373	-
chr4	38661369	38661371	cg00753676	-
chr4	38691930	38691932	cg24491704	+
chr4	38865682	38865684	cg16030869	-
chr4	38979339	38979341	cg14209186	-
chr4	39446387	39446389	cg26800884	+
chr4	39635909	39635911	cg00770471	+
chr4	39770124	39770126	cg22326973	+
chr4	39770230	39770232	cg02407068	+
chr4	40120210	40120212	cg21410980	-
chr4	40196508	40196510	cg20171453	-
chr4	40200322	40200324	cg07768107	-
chr4	40334237	40334239	cg26531231	+
chr4	41256892	41256894	cg07068756	-
chr4	41360835	41360837	cg26248284	-
chr4	41747343	41747345	cg05722504	-
chr4	41865544	41865546	cg11028201	-
chr4	41934834	41934836	cg14906103	-
chr4	41981698	41981700	cg16000989	-
chr4	48134216	48134218	cg02600394	+
chr4	48134262	48134264	cg20981615	+
chr4	48134434	48134436	cg17984638	+
chr4	48269054	48269056	cg01007345	+
chr4	48483551	48483553	cg23543123	-
chr4	48490178	48490180	cg07522516	+
chr4	48490207	48490209	cg22773661	+
chr4	48490286	48490288	cg14249348	+
chr4	48490326	48490328	cg18342279	+
chr4	53040262	53040264	cg27224986	-
chr4	53927452	53927454	cg18242288	+
chr4	54108476	54108478	cg17299437	+
chr4	54197725	54197727	cg05834036	+
chr4	54231408	54231410	cg23209990	-
chr4	54231962	54231964	cg14777772	+
chr4	55435463	55435465	cg05826175	+
chr4	55793757	55793759	cg09160776	+
chr4	55852153	55852155	cg18463607	-
chr4	55852198	55852200	cg20618651	+
chr4	56169790	56169792	cg24814707	-
chr4	56505701	56505703	cg04528060	+
chr4	56505760	56505762	cg07846311	-
chr4	56648660	56648662	cg06202778	+
chr4	56958283	56958285	cg13580758	-
chr4	57110389	57110391	cg21921384	+
chr4	57110394	57110396	cg01959562	+
chr4	67468727	67468729	cg23599224	+
chr4	67720849	67720851	cg06982834	-
chr4	70722004	70722006	cg06059810	+
chr4	70722008	70722010	cg09990852	-
chr4	70994882	70994884	cg23991274	+
chr4	73677254	73677256	cg17679619	+
chr4	73837010	73837012	cg25432696	+
chr4	74054841	74054843	cg26866325	+
chr4	74308356	74308358	cg19747465	-
chr4	76213317	76213319	cg19050061	-
chr4	76251687	76251689	cg08073591	+
chr4	76306657	76306659	cg21646326	+
chr4	77052659	77052661	cg17512133	+
chr4	77167581	77167583	cg13733008	-
chr4	77193713	77193715	cg19749538	-
chr4	80126003	80126005	cg10713839	-
chr4	81352021	81352023	cg07454933	-
chr4	82796485	82796487	cg01171706	+
chr4	83007612	83007614	cg06019050	+
chr4	83107869	83107871	cg16039724	+
chr4	87017679	87017681	cg09797433	-
chr4	87128122	87128124	cg23210971	+
chr4	87975756	87975758	cg15460348	-
chr4	87975789	87975791	cg20261167	-
chr4	88525257	88525259	cg03340036	-
chr4	88661171	88661173	cg06217267	-
chr4	88697878	88697880	cg18607468	-
chr4	88845502	88845504	cg14786790	-
chr4	89112769	89112771	cg08377000	-
chr4	89753884	89753886	cg08030922	+
chr4	89837645	89837647	cg20776829	-
chr4	92303934	92303936	cg09111223	-
chr4	93827534	93827536	cg15076145	+
chr4	95549474	95549476	cg01194057	+
chr4	95628790	95628792	cg17454283	-
chr4	98662793	98662795	cg02304751	-
chr4	98663809	98663811	cg14011327	+
chr4	99061610	99061612	cg04395703	+
chr4	99815500	99815502	cg07814567	-
chr4	99816663	99816665	cg21614638	+
chr4	99816672	99816674	cg14506696	+
chr4	99847554	99847556	cg24690709	-
chr4	99953668	99953670	cg20107506	-
chr4	100190269	100190271	cg27062369	-
chr4	100190484	100190486	cg12566138	-
chr4	100190714	100190716	cg08663159	-
chr4	101813594	101813596	cg23730277	-
chr4	101954151	101954153	cg15006682	+
chr4	102758480	102758482	cg24706564	-
chr4	102819755	102819757	cg15289466	+
chr4	105061455	105061457	cg20086219	+
chr4	105470863	105470865	cg23745290	-
chr4	107036204	107036206	cg01962428	-
chr4	107716020	107716022	cg09720012	+
chr4	107828275	107828277	cg04297507	+
chr4	108108883	108108885	cg19296305	+
chr4	109870203	109870205	cg08061367	-
chr4	112271358	112271360	cg25198847	+
chr4	112523215	112523217	cg27432847	-
chr4	113445351	113445353	cg17253981	-
chr4	113979274	113979276	cg05601456	+
chr4	114603656	114603658	cg08287903	-
chr4	118810975	118810977	cg16640599	-
chr4	119027349	119027351	cg09757859	-
chr4	119027386	119027388	cg13042918	-
chr4	119059205	119059207	cg10072261	-
chr4	119117063	119117065	cg03773809	-
chr4	119140055	119140057	cg26689203	-
chr4	120053188	120053190	cg24504349	+
chr4	120922629	120922631	cg13155001	-
chr4	121157192	121157194	cg26832294	-
chr4	121668813	121668815	cg19130824	+
chr4	121765163	121765165	cg21077559	-
chr4	121765297	121765299	cg04638468	-
chr4	121765300	121765302	cg08553437	-
chr4	122783591	122783593	cg16411668	+
chr4	123340664	123340666	cg00302979	+
chr4	123402206	123402208	cg21353144	-
chr4	123505767	123505769	cg13348155	-
chr4	124710012	124710014	cg09646593	+
chr4	125317682	125317684	cg08575049	+
chr4	128853903	128853905	cg27628849	-
chr4	128861901	128861903	cg07428959	+
chr4	128872278	128872280	cg17233452	-
chr4	128884364	128884366	cg09363243	+
chr4	137529911	137529913	cg04636538	+
chr4	139315439	139315441	cg06522833	-
chr4	139734323	139734325	cg03418002	-
chr4	139735594	139735596	cg00875805	-
chr4	139735771	139735773	cg15975217	-
chr4	139841525	139841527	cg12912920	-
chr4	142270127	142270129	cg24936781	+
chr4	144645047	144645049	cg10203922	+
chr4	145035015	145035017	cg01400750	-
chr4	145764503	145764505	cg16102040	-
chr4	146638973	146638975	cg24199834	+
chr4	147481255	147481257	cg04045079	+
chr4	147714564	147714566	cg00006459	-
chr4	147812728	147812730	cg20866785	-
chr4	148026284	148026286	cg01782668	-
chr4	150583931	150583933	cg09317554	-
chr4	151099024	151099026	cg06110802	-
chr4	151169225	151169227	cg20778600	+
chr4	151227669	151227671	cg10072319	+
chr4	151407747	151407749	cg04042828	-
chr4	152046262	152046264	cg11239720	+
chr4	152100376	152100378	cg26875626	-
chr4	152666234	152666236	cg16962557	+
chr4	152690407	152690409	cg17385088	-
chr4	152893198	152893200	cg14249174	+
chr4	153468132	153468134	cg13432241	-
chr4	153470791	153470793	cg20367304	+
chr4	154490198	154490200	cg00760935	-
chr4	154781778	154781780	cg19340941	-
chr4	155208863	155208865	cg21512644	+
chr4	155759365	155759367	cg22664296	+
chr4	155907132	155907134	cg03709468	+
chr4	156849599	156849601	cg18933943	-
chr4	158210569	158210571	cg00747800	-
chr4	159309127	159309129	cg03351978	-
chr4	163331853	163331855	cg19908812	+
chr4	163332054	163332056	cg09082903	-
chr4	165874443	165874445	cg21493633	+
chr4	165874469	165874471	cg15540138	+
chr4	167233972	167233974	cg21155380	-
chr4	167234543	167234545	cg09722742	-
chr4	168877779	168877781	cg19780352	+
chr4	168877935	168877937	cg16551732	-
chr4	169179930	169179932	cg24024036	+
chr4	169274286	169274288	cg14477767	-
chr4	170109843	170109845	cg01052699	-
chr4	171813279	171813281	cg22153181	-
chr4	173245791	173245793	cg03238899	+
chr4	173529201	173529203	cg15707093	+
chr4	173531309	173531311	cg07681935	+
chr4	182141575	182141577	cg09795809	-
chr4	182142243	182142245	cg14201424	-
chr4	182142305	182142307	cg19759671	-
chr4	182874609	182874611	cg27226424	+
chr4	183987356	183987358	cg15859390	-
chr4	184396283	184396285	cg00762029	+
chr4	184461549	184461551	cg12453504	+
chr4	184476852	184476854	cg21960364	-
chr4	184955128	184955130	cg11051295	+
chr4	185127559	185127561	cg07729537	-
chr4	185127752	185127754	cg13468418	+
chr4	185638257	185638259	cg17006136	+
chr4	185638783	185638785	cg06936803	+
chr4	185638928	185638930	cg14516100	+
chr4	186555453	186555455	cg06293787	-
chr4	186628303	186628305	cg01483139	-
chr4	187995571	187995573	cg24896649	+
chr5	261273	261275	cg06606511	-
chr5	290801	290803	cg03840351	+
chr5	423778	423780	cg14854287	+
chr5	423787	423789	cg21144161	+
chr5	528464	528466	cg15131808	-
chr5	528505	528507	cg14732324	-
chr5	619878	619880	cg20773479	+
chr5	887303	887305	cg08484479	+
chr5	957419	957421	cg21747070	-
chr5	961939	961941	cg21143086	+
chr5	964080	964082	cg11697194	-
chr5	964114	964116	cg25578949	-
chr5	964446	964448	cg05017994	-
chr5	964538	964540	cg16005592	-
chr5	969783	969785	cg07406498	+
chr5	969802	969804	cg13674369	+
chr5	969823	969825	cg04131890	+
chr5	978206	978208	cg16360831	-
chr5	1092950	1092952	cg27072813	-
chr5	1097258	1097260	cg17851021	+
chr5	1112230	1112232	cg21985251	-
chr5	1152246	1152248	cg06801385	-
chr5	1229140	1229142	cg18720622	-
chr5	1268684	1268686	cg24908166	+
chr5	1342054	1342056	cg13325231	-
chr5	1342056	1342058	cg07493874	-
chr5	1485354	1485356	cg17229371	-
chr5	1489702	1489704	cg18766691	-
chr5	1489759	1489761	cg08697251	+
chr5	1489773	1489775	cg16272981	+
chr5	1494867	1494869	cg09849319	-
chr5	1504875	1504877	cg09885622	-
chr5	1515721	1515723	cg20962974	-
chr5	1519149	1519151	cg26934362	-
chr5	1536375	1536377	cg23489236	+
chr5	1876222	1876224	cg14564616	-
chr5	2750643	2750645	cg26333652	+
chr5	2751437	2751439	cg15941948	+
chr5	2755986	2755988	cg03646189	+
chr5	2755998	2756000	cg25113237	+
chr5	3606446	3606448	cg13729210	+
chr5	6752265	6752267	cg25352200	-
chr5	6775808	6775810	cg05625559	+
chr5	7850808	7850810	cg00984474	-
chr5	10333755	10333757	cg24740026	+
chr5	10445410	10445412	cg11080651	-
chr5	10551434	10551436	cg24100671	+
chr5	10566669	10566671	cg05524458	-
chr5	10576918	10576920	cg24894783	+
chr5	10595547	10595549	cg04304338	+
chr5	10708604	10708606	cg16362140	+
chr5	10734492	10734494	cg05473987	+
chr5	14277558	14277560	cg09526469	-
chr5	14326043	14326045	cg12547959	+
chr5	14440964	14440966	cg22727783	+
chr5	14450458	14450460	cg09828761	-
chr5	14451995	14451997	cg25585967	-
chr5	14452045	14452047	cg12294026	-
chr5	14463954	14463956	cg15612947	-
chr5	14662088	14662090	cg21481321	-
chr5	14668379	14668381	cg08691577	+
chr5	14676350	14676352	cg12803754	+
chr5	14706891	14706893	cg07573020	-
chr5	15993517	15993519	cg25579729	+
chr5	16179523	16179525	cg23479922	-
chr5	16179763	16179765	cg15015920	+
chr5	16179938	16179940	cg00339556	+
chr5	16179945	16179947	cg01791874	+
chr5	16179966	16179968	cg21901718	+
chr5	16700301	16700303	cg02029841	-
chr5	16935840	16935842	cg26422488	+
chr5	17444291	17444293	cg20934416	+
chr5	32708964	32708966	cg00048436	-
chr5	32709289	32709291	cg15198736	+
chr5	32711774	32711776	cg01252672	+
chr5	33446693	33446695	cg06799721	-
chr5	33997378	33997380	cg18397975	+
chr5	35857027	35857029	cg04312209	-
chr5	36231158	36231160	cg10944033	-
chr5	37840335	37840337	cg18121355	+
chr5	38462669	38462671	cg24619276	-
chr5	38464216	38464218	cg25625968	-
chr5	38467145	38467147	cg25224048	+
chr5	38845997	38845999	cg17528648	-
chr5	39202904	39202906	cg22437221	-
chr5	39202954	39202956	cg20380468	+
chr5	39203652	39203654	cg07669182	-
chr5	39204283	39204285	cg22858170	+
chr5	39412935	39412937	cg25105652	-
chr5	39424016	39424018	cg12290311	-
chr5	42468904	42468906	cg24799710	+
chr5	42926378	42926380	cg23102129	-
chr5	42951608	42951610	cg27605748	-
chr5	42952010	42952012	cg17757602	-
chr5	42952204	42952206	cg01366595	-
chr5	43017458	43017460	cg18647237	-
chr5	43019770	43019772	cg20565980	+
chr5	43020058	43020060	cg26437825	+
chr5	43020135	43020137	cg07541200	+
chr5	43020249	43020251	cg05975410	-
chr5	43020348	43020350	cg14450725	-
chr5	43020524	43020526	cg24877677	-
chr5	43044470	43044472	cg18254356	-
chr5	43044537	43044539	cg23435915	+
chr5	43044572	43044574	cg21245816	+
chr5	43180045	43180047	cg16461861	+
chr5	43600674	43600676	cg04476877	-
chr5	43602013	43602015	cg14580628	+
chr5	54979326	54979328	cg00992687	+
chr5	54979369	54979371	cg09452568	+
chr5	55024167	55024169	cg03979311	+
chr5	55101763	55101765	cg26357596	+
chr5	55220658	55220660	cg10932018	-
chr5	55220976	55220978	cg18456523	-
chr5	55221050	55221052	cg14608384	-
chr5	55222307	55222309	cg02034689	+
chr5	55223194	55223196	cg04286194	+
chr5	55305231	55305233	cg26464796	-
chr5	55620792	55620794	cg19673549	-
chr5	55822045	55822047	cg05603546	+
chr5	55852664	55852666	cg07363330	+
chr5	55970167	55970169	cg14967393	+
chr5	55993063	55993065	cg24729879	-
chr5	55993172	55993174	cg16375820	-
chr5	56078686	56078688	cg07145038	+
chr5	57780364	57780366	cg08523694	+
chr5	59357797	59357799	cg23987137	+
chr5	59893292	59893294	cg03323696	+
chr5	60263390	60263392	cg10487428	+
chr5	60843055	60843057	cg22104242	+
chr5	61287055	61287057	cg04476427	+
chr5	61344311	61344313	cg25386954	+
chr5	61626063	61626065	cg13634242	+
chr5	63961264	63961266	cg27615388	+
chr5	65076672	65076674	cg01280881	-
chr5	68226469	68226471	cg26076905	-
chr5	68226503	68226505	cg05914150	+
chr5	68884321	68884323	cg11646762	-
chr5	72156752	72156754	cg05173749	+
chr5	72208073	72208075	cg27296759	+
chr5	72211335	72211337	cg11018604	+
chr5	72301872	72301874	cg22685009	-
chr5	72452724	72452726	cg04454664	+
chr5	73230404	73230406	cg18096962	+
chr5	73230551	73230553	cg17438030	+
chr5	73232468	73232470	cg06422883	+
chr5	73300873	73300875	cg21198550	+
chr5	73301187	73301189	cg09553242	+
chr5	73436077	73436079	cg21046148	+
chr5	73436232	73436234	cg01025233	-
chr5	73450884	73450886	cg17810609	+
chr5	73605772	73605774	cg04560029	+
chr5	73759542	73759544	cg11091734	-
chr5	75235359	75235361	cg06393998	+
chr5	76714772	76714774	cg19735421	-
chr5	76714832	76714834	cg03043127	+
chr5	77628162	77628164	cg19978181	+
chr5	77628364	77628366	cg17555825	-
chr5	77852727	77852729	cg21482621	+
chr5	77958165	77958167	cg07595776	-
chr5	77961091	77961093	cg26485844	+
chr5	79112355	79112357	cg11770080	-
chr5	79690336	79690338	cg02366931	+
chr5	80035105	80035107	cg00795341	-
chr5	80110451	80110453	cg01299332	+
chr5	80194689	80194691	cg06677021	+
chr5	80351985	80351987	cg08926967	-
chr5	80562051	80562053	cg24177517	+
chr5	80917063	80917065	cg26668747	-
chr5	80960267	80960269	cg06829830	-
chr5	80960346	80960348	cg24718971	+
chr5	80960551	80960553	cg08757742	+
chr5	80960715	80960717	cg05542262	-
chr5	81394385	81394387	cg01277506	-
chr5	82347557	82347559	cg11309237	+
chr5	83054182	83054184	cg00544914	-
chr5	88602687	88602689	cg02265379	-
chr5	88659876	88659878	cg11280525	+
chr5	88681071	88681073	cg24759337	-
chr5	88685250	88685252	cg12393318	-
chr5	88685435	88685437	cg08480826	-
chr5	88694264	88694266	cg08850461	+
chr5	88695253	88695255	cg01764252	-
chr5	90476253	90476255	cg18349241	+
chr5	93571444	93571446	cg11648730	-
chr5	93573722	93573724	cg04541368	-
chr5	93587916	93587918	cg03714110	-
chr5	93593665	93593667	cg25449484	-
chr5	93594823	93594825	cg11650763	+
chr5	93595466	93595468	cg18290233	+
chr5	93595916	93595918	cg18307783	-
chr5	95823909	95823911	cg10949007	-
chr5	95916953	95916955	cg16998950	-
chr5	96298398	96298400	cg25539505	-
chr5	96691673	96691675	cg06465076	-
chr5	98911699	98911701	cg18380211	-
chr5	98933689	98933691	cg23021796	+
chr5	98963373	98963375	cg10652637	+
chr5	104540490	104540492	cg00968488	+
chr5	107403029	107403031	cg18361975	+
chr5	107966456	107966458	cg17730234	-
chr5	108747257	108747259	cg11403831	+
chr5	108749716	108749718	cg17755888	-
chr5	111070807	111070809	cg10931190	+
chr5	111077972	111077974	cg18897025	-
